gene1|gene2|experiment_type|reference
JUN|STAT3|in vitro;in vivo|10490649
CCND1|STAT3|in vivo|11279133
EIF2AK2|STAT3|in vivo|11350938
PTPN11|STAT3|in vivo|11594781
FER|STAT3|in vitro;in vivo|10878010,12738762
MAPK1|STAT3|in vitro;in vivo|11350938,10521505,9343414,10446219,12576423,14551213,9872331,12763138
PRKCD|STAT3|in vitro;in vivo|11350938,10521505,9343414,10446219,12576423,14551213,9872331,12763138,11335711
RPA2|STAT3|in vitro;in vivo;yeast 2-hybrid|10875894
FES|STAT3|in vitro;in vivo|9714332
SRC|STAT3|in vitro;in vivo|8657134,11940572,11294897,10918587,12244095,11350938,12626508,8626374,12576423,14551213,8272872,9566874
BMX|STAT3|in vivo|10688651
AR|STAT3|in vitro;in vivo|11751884,12804609
SYK|STAT3|in vivo|10825200
CREBBP|STAT3|in vitro;in vivo|15649887
JAK3|STAT3|in vivo|10037026
STAT1|STAT3|in vivo|12070153
IL6ST|STAT3|in vivo|12361954
GHR|STAT3|in vivo|8923468
LEPR|STAT3|in vivo|8608603
MAPK8|STAT3|in vitro;in vivo|11350938,10521505,9343414,10446219,12576423,14551213,9872331,12763138
IRF2|EP300|in vitro;in vivo|11304541
GTF2I|STAT3|in vitro;in vivo|9584171
MAPK3|STAT3|in vitro;in vivo|11350938,10521505,9343414,10446219,12576423,14551213,9872331,12763138
PDIA3|STAT3|in vitro;in vivo|12060494
RAC1|STAT3|in vivo;yeast 2-hybrid|11021801
FOXM1|STAT3|in vivo|11861839
KHDRBS1|STAT3|in vivo|11585385
IL1RAP|STAT3|in vivo|9923604
NCOA1|STAT3|in vitro;in vivo|11773079
EP300|STAT3|in vitro;in vivo|10205054,15649887
TSHR|STAT3|in vitro;in vivo|10809230
NMI|STAT3|in vitro|9989503
PTPN2|STAT3|in vitro;in vivo|12359225,15588985
RPS6KA5|STAT3|in vivo|12763138
PIAS3|STAT3|in vivo|11429412,12804609
NDUFA13|STAT3|in vitro;in vivo;yeast 2-hybrid|12628925
STATIP1|STAT3|in vitro;in vivo;yeast 2-hybrid|10954736
BHLHB2|STAT3|in vitro;in vivo;yeast 2-hybrid|15223310
IL23R|STAT3|in vitro;in vivo|12023369
NLK|STAT3|in vitro;in vivo|15764709
ZNF467|STAT3|in vitro;in vivo|12426389
EP300|IRF3|in vitro|9488451
EP300|IRF7|in vitro|12604599
ACTA1|ACTA1|in vitro;yeast 2-hybrid|10366597,12048248
ADSS|ACTA1|in vitro|648524
DNASE1|ACTA1|in vitro;in vivo|11707283,2395459
UTRN|ACTA1|in vitro|12006649
EPB41|ACTA1|in vitro|11071908
EGFR|ACTA1|in vitro;in vivo|1808202,1383230
GSN|ACTA1|in vitro|10583954
GC|ACTA1|in vitro|12119014,12048248,7703225
ITPKA|ACTA1|in vitro|11468283
MYL1|ACTA1|in vitro|11707283
CTTN|ACTA1|in vivo|7680654,11018051
LRP12|ACTN2|in vivo;yeast 2-hybrid|12809483
MYOZ3|ACTN2|in vitro;in vivo|11842093
ACTN1|ACTN1|in vitro;in vivo;yeast 2-hybrid|11470434,12223541,11573089
COL17A1|ACTN1|in vivo;yeast 2-hybrid|11739652
CTNNA1|ACTN1|in vivo|7790378
CDK5|ACTN1|in vitro|12223541
CSRP1|ACTN1|in vitro|10926853
GRIN2A|ACTN1|in vivo|11854440
PYGB|ACTN1|in vivo|12211109
TTN|ACTN1|in vitro;in vivo;yeast 2-hybrid|11305911,11846417
FBP1|ACTN1|in vivo|12507293
LPP|ACTN1|in vitro;in vivo;yeast 2-hybrid|12615977
PTK2|ACTN1|in vivo|11369769
PKN1|ACTN1|in vitro;in vivo;yeast 2-hybrid|11802708,9030526
PKD1|ACTN1|in vitro;in vivo|11113628
ZYX|ACTN1|in vitro;in vivo|10224105,11423549
PLD2|ACTN1|in vitro;in vivo|10801846
CDK5R1|ACTN1|in vitro;in vivo;yeast 2-hybrid|12223541
CDK5R2|ACTN1|in vitro;yeast 2-hybrid|12223541
MYOT|ACTN1|in vivo|12499399,10369880
GIPC1|ACTN1|in vitro;in vivo|10198040
MYOZ2|ACTN1|in vivo|11842093
MYOZ1|ACTN1|in vivo|11842093
PDLIM5|ACTN1|in vitro|10833443
CLIC5|ACTN1|in vitro|10793131
CSRP3|ACTN1|in vivo|12642359
PDLIM1|ACTN1|in vitro;in vivo;yeast 2-hybrid|11110697,11973348
NEBL|ACTN1|in vitro|10470015
SSX2IP|ACTN1|in vitro;in vivo;yeast 2-hybrid|12446711
RAVER1|ACTN1|in vivo|11724819
MYOZ3|ACTN1|in vivo|11842093
BMP2|ACVR1|in vivo|8006002
BMP7|ACVR1|in vivo|8006002
ENG|ACVR1|in vivo|9872992
FNTA|ACVR1|yeast 2-hybrid|8599089
INHBA|ACVR1|in vivo|11266516
INHBB|ACVR1|in vivo|11266516
IGSF1|ACVR1|in vivo|11266516
GDF5|ACVR1|in vivo|8702914
INHBC|ACVR1|in vivo|12651901
ACVR1|SMAD1|in vitro;in vivo|10652350,10583507,9748228,9136927,10085121
SMAD5|ACVR1|in vivo|10652350,10583507,9748228
SMAD9|ACVR1|in vivo|10583507
CDK4|RFC4|in vivo|10353443
PCNA|RFC4|in vitro;in vivo|10051561,12171929
RFC2|RFC4|in vitro;in vivo;yeast 2-hybrid|9488738,8692848,9228079
RFC3|RFC4|in vitro;in vivo|9488738,8692848
RFC5|RFC4|in vitro;in vivo;yeast 2-hybrid|9488738,8692848,9228079
HDAC1|RFC4|in vitro|12045192
BRD4|RFC4|in vitro;in vivo|12192049
CHTF18|RFC4|in vivo|11486023
AP2M1|MED4|yeast 2-hybrid|16189514
PML|PML|in vitro;in vivo;yeast 2-hybrid|12837286,9294197,10938104
STAT3|PML|in vivo|12506013
ARNT|PML|in vitro|12354770
EIF4E|PML|in vitro|11500381
GATA2|PML|in vitro;in vivo;yeast 2-hybrid|10938104
NR4A1|PML|in vitro;in vivo|12032831
RELA|PML|in vitro;in vivo|12540841
SKI|PML|in vitro;in vivo|11430826
MDM2|PML|in vitro;in vivo|14507915,15195100,12915590,12759344
RB1|PML|in vivo|9448006
SP1|PML|in vitro;in vivo|9819401
MYB|PML|in vitro;in vivo|15194430
TGFBR1|PML|in vivo|15356634
TGFBR2|PML|in vivo|15356634
ALDH1A1|ALDH1A1|in vivo;yeast 2-hybrid|12081471,16189514
EP300|GPBP1|in vitro;in vivo|14612417
HSPD1|ALDH2|yeast 2-hybrid|12387818
HSPE1|ALDH2|yeast 2-hybrid|12387818
CDX2|ACAT2|in vivo|12518221
CHRNE|CHRNA1|in vitro|1712080
CHRNG|CHRNA1|in vitro|7695910
EP300|CHD4|in vitro|15189737
CHRND|CHRNA1|in vitro|7695910,8910344
ITGA7|CHRNA1|in vivo|10910772
ACHE|ACHE|in vivo|7085778
APP|ACHE|in vitro|12427014
COL4A1|ACHE|in vitro|12524166
LAMB1|ACHE|in vitro;in vivo;yeast 2-hybrid|15474030
LAMA1|ACHE|in vitro|12524166
LGTN|ACHE|in vivo|7085778
HAND1|ACHE|in vitro;yeast 2-hybrid|10837146
COLQ|ACHE|in vitro|12609505
PRIMA1|ACHE|in vivo|11804574
ASCL1|ASCL1|in vivo;yeast 2-hybrid|8948587,8900141
BMP2|ASCL1|in vitro|9197246
MEF2A|ASCL1|in vitro;in vivo|8662987
TCF4|ASCL1|in vitro;in vivo;yeast 2-hybrid|10903890
NEUROG2|ASCL1|in vitro;yeast 2-hybrid|8948587
EP300|ZBTB17|in vitro|12840021
ACTB|ACTC1|in vitro|8913639
ANG|ACTC1|in vitro;in vivo;yeast 2-hybrid|8127865
VIL2|ACTC1|in vivo|12271120
EPB49|ACTC1|in vivo|12011427
GC|ACTC1|in vitro|12452439,12554937
PRKCE|ACTC1|in vivo|11968018
DMD|ACTC1|in vivo|11997265
WAS|ACTC1|in vivo|12029088
MYLK|ACTC1|in vitro;in vivo|12110694
PLEC1|ACTC1|in vivo|12136158
CFL1|ACTC1|in vivo|12207032
DYNLL1|ACTC1|in vitro|14760703
WIPF1|ACTC1|in vivo|12029088
FSCN1|ACTC1|in vivo|12139639
LASP1|ACTC1|in vitro;in vivo|9848085
ACTR2|ACTC1|in vivo|12019562
ACTN4|ACTC1|in vivo|12042308
HSPB1|ACTC1|in vivo|12087068
AFAP1|ACTC1|in vivo|12134071
SYNE1|ACTC1|in vivo|12408964
SYNE2|ACTC1|in vivo|12118075,12408964
TWF1|ACTC1|in vivo|12207032
SCIN|ACTC1|in vivo|12438125
ABRA|ACTC1|in vivo|11983702
ABLIM3|ACTC1|in vitro;in vivo|15337165
KLHL17|ACTC1|in vivo|12063253
MIB2|ACTC1|in vitro;yeast 2-hybrid|14507647
KPTN|ACTC1|in vivo|12019562
TNNI3K|ACTC1|yeast 2-hybrid|12721663
DNASE1|ACTG1|in vitro|11474115
ANXA5|ACTG1|in vivo|10903505
FPR1|ACTG1|in vitro|8228254
GSN|ACTG1|in vitro|7849017,11733011
LSP1|ACTG1|in vitro|10925289
EP300|MN1|in vitro|12569362
EP300|NAP1L4|in vitro;in vivo|11073993
RAC1|ACTB|in vitro;in vivo|11027608
RAC2|ACTB|in vitro;in vivo|11027608
CLNS1A|ACTB|yeast 2-hybrid|9359436
CNN2|ACTB|in vivo|12388067
PLD1|ACTB|in vitro;in vivo|11373276
PLD2|ACTB|in vitro;in vivo|11373276
P2RX7|ACTB|in vivo|11707406
HNRPAB|ACTB|in vitro|11937625
LMOD1|ACTB|in vitro;in vivo|11350761
NRAP|ACTB|in vitro|9295142
LASP1|ACTB|in vitro;in vivo|9848085
SMAD3|ACTB|in vitro|15527767
S100A11|ACTB|in vitro;in vivo|14623863,10851017
SMARCA4|ACTB|in vitro;in vivo|9845365
CDK5R2|ACTB|in vivo|10683146
CPNE1|ACTB|in vitro;yeast 2-hybrid|12522145
CPNE2|ACTB|yeast 2-hybrid|12522145
CPNE4|ACTB|in vitro;yeast 2-hybrid|12522145
GNA12|ACTB|in vivo|10787407
PFDN1|ACTB|in vitro;in vivo|11535601
PFDN4|ACTB|in vitro;in vivo|12456645
CORO1A|ACTB|in vitro|12673016
WASF1|ACTB|in vitro|10381382
WASF3|ACTB|in vitro|10381382
CCT4|ACTB|in vitro;in vivo|10604479
WASF2|ACTB|in vitro|10381382
PDLIM5|ACTB|in vitro|10833443
CLIC4|ACTB|in vivo|11563969
CCT5|ACTB|in vitro;in vivo|11580269
CCT2|ACTB|in vitro;in vivo|10748209,11580269
ANAPC2|ACTB|in vivo|11691822
POLR2A|ACTB|in vitro|10773068,435297
FHL3|ACTB|in vitro;in vivo;yeast 2-hybrid|12704194
SCN10A|ACTB|in vivo;yeast 2-hybrid|12591166
NCALD|ACTB|in vivo|11964161
SSH1|ACTB|in vivo|11832213
SSH2|ACTB|in vivo|11832213
SSH3|ACTB|in vivo|11832213
MYO18B|ACTB|in vivo|12547197
CAP1|ACTB|in vivo;yeast 2-hybrid|8761950
ARPC1B|ACTB|in vitro|11721045,11533442
NEBL|ACTB|in vitro|10470015
XPO6|ACTB|in vitro|14592989
CCT8|ACTB|in vitro;in vivo|10748209
ABRA|ACTB|in vitro;in vivo|11983702
TPM2|ACTB|in vivo|9108196
SYNJ2BP|ACTB|in vitro|11673475,11696420
LGALS13|ACTB|in vitro|15009185
C20orf20|ACTB|in vitro|12963728
TANC1|ACTB|in vivo|15673434
AP2B1|NECAP2|yeast 2-hybrid|16189514
AP2B1|POM121|yeast 2-hybrid|16189514
AP2B1|RIBC2|yeast 2-hybrid|16189514
AP2B1|FAM46C|yeast 2-hybrid|16189514
AP2B1|THAP1|yeast 2-hybrid|16189514
AP2B1|KIAA0408|yeast 2-hybrid|16189514
CD44|MADCAM1|in vitro|2474557
ITGB7|MADCAM1|in vitro|9233649
ITGA4|MADCAM1|in vitro|10702270,9873398
ADD2|ADD1|in vivo|7490111
CALM1|ADD1|in vivo|8663089
PRKCD|ADD1|in vitro;in vivo|8810272,9679146
ATP1A1|ADD1|in vitro|10516168
SPTA1|ADD1|in vitro|3600811,8626479
SPTB|ADD1|in vitro|8663089
ID2|ADD1|in vitro;in vivo|10585876
CASP3|ADD1|in vitro|10823823
PRKACA|ADD1|in vitro|8810272
ROCK1|ADD1|in vivo|10209029
HSPH1|ADD1|in vitro;in vivo|14733918
ADD2|ADD2|in vitro|7999065,7707875
CALM1|ADD2|in vivo|7490111
FYN|ADD2|in vivo|11526103
PRKCD|ADD2|in vitro;in vivo|9679146,8810272
PRKACA|ADD2|in vitro;in vivo|9679146,8810272
RPH3A|ADD2|in vitro|7999065,7707875,9244430
ADORA1|ADA|in vivo|9247966,12150791
ADORA2A|ADA|in vivo|11125033
GRB2|ADA|in vitro|9299436
DRD1|ADA|in vitro|12150791
NR3C1|ADA|in vitro|9154805
DPP4|ADA|in vitro|11772392
ADORA2B|ADA|in vitro;in vivo|11125033
SNCA|UBB|in vivo|11603807
MYH2|AMPD1|in vivo|9730972
DRD1|ADORA1|in vivo|10890919
GNAZ|ADORA1|in vitro|9166747
GNAO1|ADORA1|in vivo|10521440
GNAS|ADORA1|in vivo|10521440
GNAI2|ADORA1|in vivo|11369591
P2RY1|ADORA1|in vivo|11390975
GRM1|ADORA1|in vitro|11278325
EPB41L2|ADORA1|in vitro;in vivo;yeast 2-hybrid|12974671
DRD2|ADORA2A|in vivo|12804599
ADORA2A|ADORA2A|in vivo|12804599
PLG|ATP5B|in vitro|10077593
APOA1|ATP5B|in vivo|2687158
YWHAG|ATP5B|in vivo|15324660
ATPAF2|ATP5B|yeast 2-hybrid|11410595
ATPAF1|ATP5B|in vitro;yeast 2-hybrid|12206899
ADCYAP1|ADCYAP1R1|in vitro;in vivo|10583729,8253796
FHL2|AK1|in vitro|12432079
ADCY1|ADCY2|in vitro|8692867
GNAS|ADCY2|in vitro|9268375
ADCY5|ADCY2|in vitro|9268375
GNAI2|ADCY1|in vivo|2121366
ARF1|ADFP|in vitro;yeast 2-hybrid|15336557
CHRM3|ARF1|in vitro;in vivo|12799371
KDELR1|ARF1|in vivo|11703931
NPM1|ARF1|in vitro;in vivo|14636574,15684379
RALA|ARF1|in vivo|12509462,9688545
PSCD1|ARF1|in vitro|9756891,9653114,10212218
AP1B1|ARF1|in vitro;in vivo|11926829
COPB1|ARF1|in vitro;in vivo|10720466,10318838
AP4M1|ARF1|in vitro;in vivo;yeast 2-hybrid|11707398
PLD1|ARF1|in vitro;in vivo|9688545
PLD2|ARF1|in vivo|12519790,10801846
PSCD2|ARF1|in vitro;in vivo|9417041
MDM4|ARF1|in vitro;in vivo|11297540
PIP5K1A|ARF1|in vitro|10747863,10589680
AP3B1|ARF1|in vitro|11926829
AP1G1|ARF1|in vitro;in vivo|11926829
DDEF2|ARF1|in vivo|10749932,10022920
PKN1|CCDC85B|yeast 2-hybrid|16189514
APP|PSEN1|in vitro|10593990
CTNNA1|PSEN1|in vivo|10635315
CTNNB1|PSEN1|in vitro;in vivo|9738936,10092585,12070348,11168528
CDK5|PSEN1|in vitro;in vivo|12056836
GFAP|PSEN1|in vitro;yeast 2-hybrid|12058025
CASP1|PSEN1|in vitro;in vivo|10069390
BCL2|PSEN1|in vitro;in vivo;yeast 2-hybrid|10521466
MAPT|PSEN1|in vivo|9689133
PIK3R1|PSEN1|in vitro|15192701
PRKCZ|PSEN1|in vitro;in vivo|14576165
PSEN1|NOTCH1|in vivo|10077672,10206645,12374741
CDH1|PSEN1|in vitro|10635315,11953314
FLNA|PSEN1|in vivo;yeast 2-hybrid|9437013
PSEN1|GDI1|in vitro|15480879
BCL2L1|PSEN1|in vivo;yeast 2-hybrid|10446169
PACSIN2|WASL|yeast 2-hybrid|12426380
CASP3|PSEN1|in vitro;in vivo|10069390
CASP6|PSEN1|in vitro;in vivo|10069390
PRKACA|PSEN1|in vitro|14576165
CASP7|PSEN1|in vitro;in vivo|10069390
CASP8|PSEN1|in vitro;in vivo|10069390
ICAM5|PSEN1|in vitro;in vivo;yeast 2-hybrid|11719200
TCF7L2|PSEN1|in vitro|11504726
APBA1|PSEN1|in vitro|12196555
FLNB|PSEN1|in vitro;in vivo;yeast 2-hybrid|9437013
SFRS2IP|PSEN1|in vitro;in vivo|10069390
ERN1|PSEN1|in vitro;in vivo|10587643
PKP4|PSEN1|in vitro;in vivo;yeast 2-hybrid|10092585,10037471
KCNIP3|PSEN1|in vivo|12207970
GSK3B|PSEN1|in vitro;in vivo|11104755
UBQLN1|PSEN1|in vitro;in vivo;yeast 2-hybrid|11076969
NCSTN|PSEN1|in vivo|10993067,12603837
RAB11A|PSEN1|in vivo;yeast 2-hybrid|10369872
FBXW7|PSEN1|in vivo|12354302
DLL1|PSEN1|in vitro|12794186
APH1A|PSEN1|in vitro;in vivo|12297508,12471034
APH1B|PSEN1|in vivo|12471034
PSENEN|PSEN1|in vitro;in vivo|12198112,12639958
YME1L1|PSEN1|yeast 2-hybrid|12214059
BACE1|PSEN1|in vitro;in vivo;yeast 2-hybrid|12901838
HERPUD1|PSEN1|in vivo|11799129
CTNND2|PSEN1|in vitro;in vivo;yeast 2-hybrid|9223106,10208590,10037471
METTL2B|PSEN1|yeast 2-hybrid|11738826
DOCK3|PSEN1|in vitro;yeast 2-hybrid|10854253
MTCH1|PSEN1|in vitro;in vivo|10551805
FGD1|ABP1|in vitro;in vivo|12913069
DNM2|ABP1|in vitro;in vivo|12419186
DAO|ABP1|in vivo|8195119
KLF2|EP300|in vitro|15136591
MEF2C|EP300|in vitro|9001254
MEF2D|EP300|in vitro;in vivo|11096067
SLC7A8|SLC3A1|in vivo|10574970
MMP9|AREG|in vivo|10389762
CCND3|AREG|in vivo|11469683
EGFR|AREG|in vivo|10085134
WT1|AREG|in vitro;in vivo|10490105
GP2|AMY2A|in vitro|1284286
MAP2K1|EP300|in vitro;in vivo|11278389
COL4A3|SAA1|in vitro|8995276
COL4A2|SAA1|in vitro|8995276
COL4A1|SAA1|in vitro|8995276
COL4A4|SAA1|in vitro|8995276
FPR1|SAA1|in vitro|10753626
LAMA1|SAA1|in vitro|8995276
AP2B1|AP1M1|yeast 2-hybrid|16189514
COL4A1|SAA2|in vitro|8995276
LAMA1|SAA2|in vitro|8995276
COL4A1|SAA4|in vitro|8995276
AP2B1|TERF2IP|yeast 2-hybrid|16189514
SERPINA3|APP|in vivo|10048303,2190106
APOE|APP|in vitro|10559559
LRP1|APP|in vivo|12212791,7543026
GRB2|APP|in vivo|12485888
CALR|APP|in vivo|11378243
CTSD|APP|in vitro;in vivo|10605825,8943232,10931940,8930981,7523115
CHRNA7|APP|in vitro;in vivo|10681545
COL4A3|APP|in vitro|9136074
COL4A2|APP|in vitro|9136074
COL4A1|APP|in vitro|9136074
COL1A2|APP|in vitro|7688497
CDK5|APP|in vitro;in vivo|8764598,10936190,15178331
NID1|APP|in vitro|11376898
FBLN1|APP|in vitro|11238726
GSN|APP|in vitro;in vivo|10329371
GAPDH|APP|in vitro|8473906
HMOX2|APP|in vivo;yeast 2-hybrid|12057765
HSPG2|APP|in vitro|9136074
HADHB|APP|in vitro|11430884
IDE|APP|in vitro|9830016
LAMA1|APP|in vitro|9136074
SNCA|APP|in vitro|9163350
ABL1|APP|in vivo|11279131
KNG1|APP|in vivo|12090937
F12|APP|in vivo|11589915
BCAP31|APP|in vivo;yeast 2-hybrid|12529377
BGN|APP|in vitro|7793988
COL4A5|APP|in vitro|9136074
COL4A6|APP|in vitro|9136074
KLC1|APP|in vitro;in vivo|11144355
SHC1|APP|in vitro;in vivo;yeast 2-hybrid|11877420,9045663
CASP3|APP|in vitro;in vivo|8943232,15178331
CAV1|APP|in vitro|9553108
CASP6|APP|in vitro|10438520
PRSS2|APP|in vitro|8478942
CASP8|APP|in vitro|10911620
BLMH|APP|in vitro;yeast 2-hybrid|10973933
APBA1|APP|in vitro;in vivo|8887653
SNCB|APP|in vitro|9163350
CASP4|APP|in vitro|15123740
APBB1|APP|in vitro;in vivo;yeast 2-hybrid|8887653,8955346,9799084,9837937,11085987,9045663,11517249
APBB2|APP|in vitro;in vivo|8855266,14527950
APBB3|APP|in vitro;in vivo|14527950,10081969
APBA2|APP|in vitro;in vivo|9890987
APPBP1|APP|in vitro;in vivo|8626687
DAB1|APP|in vitro|10460257,9837937
NUMB|APP|in vitro;in vivo|12011466
APBA3|APP|in vitro;in vivo|10049767
MAPK8IP1|APP|in vitro;in vivo;yeast 2-hybrid|11517249,11724784
